# Faculty of Technology, University of Delhi — room timetable
# Academic Session 2026-27, w.e.f. 17th September 2026
#
# Transcribed from the 22-page printed timetable issued on 17 September 2026. One row
# per printed cell:
#   day,start,units,room,subject,section,faculty,kind,batch
# `start` is the slot's start hour on a 24-hour clock, `units` its length in hours (a
# 2-hour block is one row with units=2, not two rows). `kind` is L / P / T.
#
# The printed grid has an 8-9 AM column and the timetable uses it. Attendo's teaching
# day starts at 9 and its slot grid is not being widened, so those cells are not
# carried over. Nine are dropped whole; the three that continue past 9 AM (the
# first-year FMB practical) keep the hours from 9 onward.
#
# Every other cell on every page is transcribed, including the ones printed without a
# room in brackets — FIT INDIA (Fit India, the sports hour, formerly SFL). Those leave
# `room` empty: they are classes the section attends, so they must be here for course
# seeding, but they occupy no room and the Rooms screens skip them. An empty `room` is
# the only way to say that; naming a room they do not use would book a room that is
# actually free.
#
# A class attended by more than one cohort (a 3rd-year elective, a joint EE workshop)
# appears once per cohort. That is not a clash: the Rooms screen groups identical
# bookings and lists the cohorts together. The `batch` column carries the cohort the
# printed cell names — FMB and FL number their practical groups A and B across
# sections, so a first-year section may be in group A here and group B there.
#
# To update for a new semester: replace this file, keeping the column order.
day,start,units,room,subject,section,faculty,kind,batch

# ---- 1st Year EE-A -----------------------------------------------------------
Mon,9,2,212,EW,1st Yr EE-A,JP,L,A2
Mon,9,2,312,FCP,1st Yr EE-A,RR,P,A1
Mon,11,2,211,IEEE,1st Yr EE-A,ART,P,A1
Mon,11,2,212,EW,1st Yr EE-A,AKS,L,A2
Mon,16,1,503,M-1,1st Yr EE-A,AP,L,
Mon,17,1,203,FCP,1st Yr EE-A,RR,L,
Tue,9,2,214,HBT,1st Yr EE-A,PT,L,
Tue,13,1,213,IEEE,1st Yr EE-A,AT,L,
Tue,14,2,213,FMB,1st Yr EE-A,VKG,L,B
Tue,16,2,503,FCP,1st Yr EE-A,RR,L,
Wed,9,2,204,M-1,1st Yr EE-A,AP,L,
Wed,14,2,211,IEEE,1st Yr EE-A,ART,P,A2
Wed,14,4,212,EW,1st Yr EE-A,AKS,L,A1
Wed,16,2,312,FCP,1st Yr EE-A,RR,P,A2
Thu,9,1,211,M-1,1st Yr EE-A,AP,T,A1
Thu,10,1,211,M-1,1st Yr EE-A,AP,T,A2
Thu,11,2,313,EF-1,1st Yr EE-A,RH,L,
Fri,9,2,213,IEEE,1st Yr EE-A,AT,L,
Fri,11,2,314,DE,1st Yr EE-A,MS,L,
Sat,9,1,313,FL,1st Yr EE-A,AK,L,A
Sat,10,2,313,FL,1st Yr EE-A,AK,P,A
Sat,10,2,314,DE,1st Yr EE-A,MS,L,
Sat,12,1,213,FMB,1st Yr EE-A,VKG,L,B
Sat,13,1,203,EF-1,1st Yr EE-A,RH,L,
Sat,13,2,213,FMB,1st Yr EE-A,VKG,P,B
Sat,14,2,203,EF-1,1st Yr EE-A,RH,T,

# ---- 1st Year EE-B -----------------------------------------------------------
Mon,9,2,203,FCP,1st Yr EE-B,GB,L,
Mon,12,1,317,M-1,1st Yr EE-B,AP,T,B1
Mon,13,1,317,M-1,1st Yr EE-B,AP,T,B2
Mon,15,1,204,M-1,1st Yr EE-B,AP,L,
Mon,16,2,204,HBT,1st Yr EE-B,VA,L,
Tue,9,4,212,EW,1st Yr EE-B,DP,L,B2
Tue,9,2,312,FCP,1st Yr EE-B,GB,P,B1
Tue,11,2,304,PHY,1st Yr EE-B,VK,P,B1
Tue,14,1,203,FCP,1st Yr EE-B,GB,L,
Tue,15,1,203,PHY,1st Yr EE-B,KJ,L,
Tue,16,2,213,FMB,1st Yr EE-B,KJL,L,A
Wed,16,2,203,PHY,1st Yr EE-B,VK,L,
Thu,11,2,313,EF-1,1st Yr EE-B,RH,L,
Thu,14,2,212,EW,1st Yr EE-B,JP,L,B1
Thu,14,2,312,FCP,1st Yr EE-B,GB,P,B2
Thu,16,2,212,EW,1st Yr EE-B,UJS,L,B1
Thu,16,2,304,PHY,1st Yr EE-B,VK,P,B2
Fri,9,1,313,FMB,1st Yr EE-B,KJL,P,A
Fri,10,1,313,FMB,1st Yr EE-B,KJL,L,A
Fri,11,2,314,DE,1st Yr EE-B,MS,L,
Fri,13,2,203,M-1,1st Yr EE-B,AP,L,
Sat,9,1,203,FL,1st Yr EE-B,TK,L,B
Sat,10,2,203,FL,1st Yr EE-B,TK,P,B
Sat,10,2,314,DE,1st Yr EE-B,MS,L,
Sat,13,1,203,EF-1,1st Yr EE-B,RH,L,
Sat,14,2,203,EF-1,1st Yr EE-B,RH,T,

# ---- 1st Year ECE-A ----------------------------------------------------------
Mon,13,1,314,FCP,1st Yr ECE-A,RR,L,
Mon,16,2,213,DE,1st Yr ECE-A,KJL,L,
Tue,9,2,311,ECW,1st Yr ECE-A,SJY,L,A1
Tue,11,2,211,IEEE,1st Yr ECE-A,KJ,P,A1
Tue,11,2,311,ECW,1st Yr ECE-A,VJ / SJY,L,A2
Tue,13,1,317,M-1,1st Yr ECE-A,RHS,T,A1
Tue,14,1,317,M-1,1st Yr ECE-A,RHS,T,A2
Tue,16,2,213,FMB,1st Yr ECE-A,KJL,L,A
Tue,16,2,G01,EF-1,1st Yr ECE-A,ANK,L,
Wed,9,2,213,M-1,1st Yr ECE-A,ANJ,L,
Wed,14,2,311,ECW,1st Yr ECE-A,VJ / SJY,L,A2
Wed,14,2,312,FCP,1st Yr ECE-A,RR,P,A1
Wed,16,2,213,HBT,1st Yr ECE-A,VA,L,
Thu,9,2,314,IEEE,1st Yr ECE-A,AT,L,
Thu,13,1,213,M-1,1st Yr ECE-A,ANJ,L,
Thu,14,2,211,IEEE,1st Yr ECE-A,KJ,P,A2
Thu,14,2,311,ECW,1st Yr ECE-A,SJY,L,A1
Thu,16,2,312,FCP,1st Yr ECE-A,RR,P,A2
Fri,9,1,313,FMB,1st Yr ECE-A,KJL,P,A
Fri,10,1,313,FMB,1st Yr ECE-A,KJL,L,A
Fri,13,1,213,IEEE,1st Yr ECE-A,AT,L,
Fri,14,2,214,FCP,1st Yr ECE-A,RR,L,
Sat,9,1,203,FL,1st Yr ECE-A,TK,L,B
Sat,10,2,203,FL,1st Yr ECE-A,TK,P,B
Sat,10,2,213,DE,1st Yr ECE-A,KJL,L,
Sat,13,1,214,EF-1,1st Yr ECE-A,ANK,L,
Sat,14,2,214,EF-1,1st Yr ECE-A,ANK,T,

# ---- 1st Year ECE-B ----------------------------------------------------------
Mon,12,2,203,PHY,1st Yr ECE-B,KJ,L,
Mon,16,2,213,DE,1st Yr ECE-B,KJL,L,
Tue,9,2,314,FCP,1st Yr ECE-B,SY,L,
Tue,16,2,213,FMB,1st Yr ECE-B,KJL,L,A
Tue,16,2,G01,EF-1,1st Yr ECE-B,ANK,L,
Wed,9,2,311,ECW,1st Yr ECE-B,DRS,L,B1
Wed,9,2,312,FCP,1st Yr ECE-B,BR,P,B2
Wed,11,2,304,PHY,1st Yr ECE-B,KJ,P,B2
Wed,11,2,311,ECW,1st Yr ECE-B,AKG,L,B1
Wed,13,1,214,FCP,1st Yr ECE-B,SY,L,
Wed,14,1,217,M-1,1st Yr ECE-B,AP,T,B1
Wed,15,1,217,M-1,1st Yr ECE-B,AP,T,B2
Thu,9,2,311,ECW,1st Yr ECE-B,SW,L,B2
Thu,9,2,312,FCP,1st Yr ECE-B,BR,P,B1
Thu,11,2,304,PHY,1st Yr ECE-B,KJ,P,B1
Thu,11,2,311,ECW,1st Yr ECE-B,GS,L,B2
Thu,14,2,214,M-1,1st Yr ECE-B,AP,L,
Fri,9,1,313,FMB,1st Yr ECE-B,KJL,P,A
Fri,10,1,313,FMB,1st Yr ECE-B,KJL,L,A
Fri,12,1,214,M-1,1st Yr ECE-B,AP,L,
Fri,13,1,214,PHY,1st Yr ECE-B,KJ,L,
Fri,16,2,214,HBT,1st Yr ECE-B,VA,L,
Sat,9,1,203,FL,1st Yr ECE-B,TK,L,B
Sat,10,2,203,FL,1st Yr ECE-B,TK,P,B
Sat,10,2,213,DE,1st Yr ECE-B,KJL,L,
Sat,13,1,214,EF-1,1st Yr ECE-B,ANK,L,
Sat,14,2,214,EF-1,1st Yr ECE-B,ANK,T,

# ---- 1st Year CSE-A ----------------------------------------------------------
Mon,9,2,214,M-1,1st Yr CSE-A,ANJ,L,
Mon,13,1,313,M-1,1st Yr CSE-A,ANJ,T,A1
Tue,9,2,213,EF-1,1st Yr CSE-A,TNK,L,
Tue,13,1,314,FCP,1st Yr CSE-A,US,L,
Tue,14,2,213,FMB,1st Yr CSE-A,VKG,L,B
Tue,16,1,203,M-1,1st Yr CSE-A,ANJ,L,
Tue,17,1,203,M-1,1st Yr CSE-A,ANJ,T,A2
Wed,9,2,214,IEEE,1st Yr CSE-A,KJ,L,
Wed,16,2,314,FCP,1st Yr CSE-A,US,L,
Thu,9,2,203,HBT,1st Yr CSE-A,PT,L,
Thu,11,2,214,DE,1st Yr CSE-A,RTS,L,
Thu,13,1,314,IEEE,1st Yr CSE-A,KJ,L,
Thu,14,4,217,CW,1st Yr CSE-A,JS,L,A2
Fri,9,2,211,IEEE,1st Yr CSE-A,KJ,P,A2
Fri,9,4,217,CW,1st Yr CSE-A,UK,L,A1
Fri,11,2,312,FCP,1st Yr CSE-A,US,P,A2
Fri,14,2,211,IEEE,1st Yr CSE-A,KJ,P,A1
Fri,16,2,312,FCP,1st Yr CSE-A,US,P,A1
Sat,9,2,214,DE,1st Yr CSE-A,RTS,L,
Sat,9,1,313,FL,1st Yr CSE-A,AK,L,A
Sat,10,2,313,FL,1st Yr CSE-A,AK,P,A
Sat,12,1,213,FMB,1st Yr CSE-A,VKG,L,B
Sat,13,2,213,FMB,1st Yr CSE-A,VKG,P,B
Sat,13,1,314,EF-1,1st Yr CSE-A,TNK,L,
Sat,14,2,314,EF-1,1st Yr CSE-A,TNK,T,

# ---- 1st Year CSE-B ----------------------------------------------------------
Mon,11,2,313,PHY,1st Yr CSE-B,VK,L,
Mon,14,2,304,PHY,1st Yr CSE-B,VK,P,B1
Mon,16,2,312,FCP,1st Yr CSE-B,UK,P,B1
Tue,9,2,213,EF-1,1st Yr CSE-B,TNK,L,
Tue,13,1,214,M-1,1st Yr CSE-B,ANJ,L,
Tue,14,2,213,FMB,1st Yr CSE-B,VKG,L,B
Tue,16,2,312,FCP,1st Yr CSE-B,UK,P,B2
Wed,9,2,314,HBT,1st Yr CSE-B,PT,L,
Wed,11,2,217,CW,1st Yr CSE-B,MV,L,B1
Wed,14,2,304,PHY,1st Yr CSE-B,VK,P,B2
Wed,16,2,217,CW,1st Yr CSE-B,MV,L,B1
Thu,11,2,214,DE,1st Yr CSE-B,RTS,L,
Thu,13,1,214,PHY,1st Yr CSE-B,VK,L,
Thu,14,2,213,FCP,1st Yr CSE-B,UK,L,
Thu,16,1,203,M-1,1st Yr CSE-B,ANJ,T,B1
Thu,17,1,203,M-1,1st Yr CSE-B,ANJ,T,B2
Fri,9,2,314,M-1,1st Yr CSE-B,ANJ,L,
Fri,13,1,313,FCP,1st Yr CSE-B,UK,L,
Fri,14,4,217,CW,1st Yr CSE-B,MV,L,B2
Sat,9,2,214,DE,1st Yr CSE-B,RTS,L,
Sat,9,1,313,FL,1st Yr CSE-B,AK,L,A
Sat,10,2,313,FL,1st Yr CSE-B,AK,P,A
Sat,12,1,213,FMB,1st Yr CSE-B,VKG,L,B
Sat,13,2,213,FMB,1st Yr CSE-B,VKG,P,B
Sat,13,1,314,EF-1,1st Yr CSE-B,TNK,L,
Sat,14,2,314,EF-1,1st Yr CSE-B,TNK,T,

# ---- 2nd Year EE-A -----------------------------------------------------------
Mon,9,2,314,EVS-2,2nd Yr EE-A,UDS,L,
Mon,11,2,204,ADEC,2nd Yr EE-A,GS,L,
Mon,14,4,212,AEW-I,2nd Yr EE-A,AKT / AT,L,B1
Tue,10,1,203,VLSI,2nd Yr EE-A,SW,L,
Tue,11,2,204,EM-I,2nd Yr EE-A,SG,L,
Tue,14,2,204,IEHV,2nd Yr EE-A,ART,L,
Tue,14,2,312,VLSI,2nd Yr EE-A,SW,P,
Tue,14,2,Basement Lab,FSS,2nd Yr EE-A,AKS,L,
Tue,16,2,317,ADEC,2nd Yr EE-A,GS,P,A1
Tue,16,2,Basement Lab,EM-I,2nd Yr EE-A,AKT / SG,P,A2
Wed,9,2,R2,PSCS-B,2nd Yr EE-A,AZK,L,
Wed,11,2,211,ENA,2nd Yr EE-A,JP,P,A1
Wed,11,2,317,ADEC,2nd Yr EE-A,GS,P,A2
Wed,14,1,203,ADEC,2nd Yr EE-A,GS,L,
Wed,15,2,,FIT INDIA,2nd Yr EE-A,RHS,L,
Thu,9,2,R2,PSCS,2nd Yr EE-A,AZK,P,B3
Thu,11,2,203,ENA,2nd Yr EE-A,DP,L,
Thu,13,1,R2,PSCS-B,2nd Yr EE-A,AZK,L,
Thu,14,2,203,VLSI,2nd Yr EE-A,SW,L,
Thu,14,1,204,IEHV,2nd Yr EE-A,ART,L,
Thu,14,1,Basement Lab,FSS,2nd Yr EE-A,AKS,L,
Thu,15,1,204,IEHV,2nd Yr EE-A,ART,T,
Thu,15,1,Basement Lab,FSS,2nd Yr EE-A,AKS,T,
Thu,16,2,211,ENA,2nd Yr EE-A,DP,P,A2
Thu,16,2,Basement Lab,EM-I,2nd Yr EE-A,AKT / SG,P,A1
Fri,11,1,204,EM-I,2nd Yr EE-A,SG,L,
Fri,12,1,204,ENA,2nd Yr EE-A,DP,L,
Fri,14,4,212,AEW-I,2nd Yr EE-A,AKT / UJS,L,B2

# ---- 2nd Year EE-B -----------------------------------------------------------
Mon,9,2,R2,PSCS-A,2nd Yr EE-B,AZK,L,
Mon,11,1,203,EM-I,2nd Yr EE-B,UJS,L,
Mon,14,4,212,AEW-I,2nd Yr EE-B,AKT / AT,L,B1
Tue,10,1,203,VLSI,2nd Yr EE-B,SW,L,
Tue,11,2,317,ADEC,2nd Yr EE-B,DRS,P,B1
Tue,11,2,Basement Lab,EM-I,2nd Yr EE-B,AKT / UJS,P,B2
Tue,13,1,R1,PSCS-A,2nd Yr EE-B,AZK,L,
Tue,14,2,204,IEHV,2nd Yr EE-B,ART,L,
Tue,14,2,312,VLSI,2nd Yr EE-B,SW,P,
Tue,14,2,Basement Lab,FSS,2nd Yr EE-B,AKS,L,
Tue,16,2,204,ADEC,2nd Yr EE-B,DRS,L,
Wed,10,1,203,ENA,2nd Yr EE-B,JP,L,
Wed,11,2,203,EM-I,2nd Yr EE-B,UJS,L,
Wed,14,1,204,ADEC,2nd Yr EE-B,DRS,L,
Wed,15,2,,FIT INDIA,2nd Yr EE-B,RHS,L,
Thu,9,2,213,EVS-2,2nd Yr EE-B,UDS,L,
Thu,11,2,211,ENA,2nd Yr EE-B,JP,P,B2
Thu,11,2,Basement Lab,EM-I,2nd Yr EE-B,AKT / SG,P,B1
Thu,14,2,203,VLSI,2nd Yr EE-B,SW,L,
Thu,14,1,204,IEHV,2nd Yr EE-B,ART,L,
Thu,14,1,Basement Lab,FSS,2nd Yr EE-B,AKS,L,
Thu,15,1,204,IEHV,2nd Yr EE-B,ART,T,
Thu,15,1,Basement Lab,FSS,2nd Yr EE-B,AKS,T,
Thu,16,2,204,ENA,2nd Yr EE-B,JP,L,
Fri,9,2,R2,PSCS,2nd Yr EE-B,AZK,P,B4
Fri,11,2,211,ENA,2nd Yr EE-B,JP,P,B1
